SW,trail,moh,oos_med,oos_min,oos_max,oos_std,full_med,sw_med,dd_med
36,0.02,1,23.969,17.24,32.57,4.71,14.54,326.0,-27.132
36,0.02,5,22.604,15.617,30.519,4.628,13.436,283.0,-26.961
36,0.03,5,14.477,11.135,20.534,2.926,9.393,281.0,-31.043
36,0.04,3,10.287,9.819,14.286,1.548,6.638,295.5,-32.432
36,0.06,3,7.074,6.309,10.173,1.321,4.728,294.5,-34.095
36,0.04,5,9.279,8.767,12.742,1.341,5.986,282.5,-29.303
36,0.03,3,15.554,13.74,22.119,2.84,9.999,294.0,-34.804
36,0.03,1,16.385,13.313,23.099,3.028,10.583,324.0,-28.981
40,0.02,5,20.061,15.574,29.551,4.264,13.075,280.5,-27.736
36,0.06,5,5.836,4.82,8.231,1.074,3.84,281.5,-30.666
36,0.06,1,8.086,7.393,11.072,1.226,5.223,322.5,-28.686
36,0.04,1,11.316,10.663,15.219,1.539,7.142,323.5,-27.87
40,0.02,3,21.769,18.003,31.597,4.254,14.11,297.5,-32.34
40,0.02,1,20.714,17.337,30.202,4.043,13.392,331.5,-29.503
40,0.03,3,15.125,13.531,22.292,2.897,9.936,293.5,-32.505
40,0.03,5,14.337,12.467,20.78,2.781,9.374,275.5,-27.912
40,0.06,5,5.238,2.683,7.197,1.659,3.204,278.0,-30.135
40,0.06,3,7.348,5.197,9.959,1.682,4.604,293.0,-33.667
40,0.03,1,14.617,12.638,21.308,2.749,9.48,327.5,-29.675
40,0.04,5,8.834,6.255,11.381,1.806,5.281,278.0,-30.207
40,0.04,3,10.876,8.765,14.359,1.871,6.663,293.0,-33.144
40,0.04,1,10.553,7.76,13.281,1.986,6.137,328.0,-32.548
40,0.06,1,7.035,4.505,9.155,1.821,4.141,328.0,-32.483
